name,team,Q1,Q2,Q3,Q4,one,total,avg
Liver,E,89,21,24,64,1,198,49.5
Arry,C,36,37,37,57,1,167,41.75
Ack,A,57,60,18,84,1,219,54.75
Eorge,C,93,96,71,78,1,338,84.5
Oah,D,65,49,61,86,1,261,65.25
Harlie,C,24,13,87,43,1,167,41.75
Acob,B,61,95,94,8,1,258,64.5
Lfie,A,9,10,99,37,1,155,38.75
Reddie,D,64,93,57,72,1,286,71.5
Oscar,A,77,9,26,67,1,179,44.75
Leo,B,17,4,33,79,1,133,33.25
Logan,B,9,89,35,65,1,198,49.5
Archie,C,83,89,59,68,1,299,74.75
Theo,C,51,86,87,27,1,251,62.75
Thomas,B,80,48,56,41,1,225,56.25
James,E,48,77,52,11,1,188,47.0
Joshua,A,63,4,80,30,1,177,44.25
Henry,A,91,15,75,17,1,198,49.5
William,C,80,68,3,26,1,177,44.25
Max,E,97,75,41,3,1,216,54.0
Lucas,A,60,41,77,62,1,240,60.0
Ethan,D,79,45,89,88,1,301,75.25
Arthur,A,44,53,42,40,1,179,44.75
Mason,D,80,96,26,49,1,251,62.75
Isaac,E,74,23,28,65,1,190,47.5
Harrison,B,89,13,18,75,1,195,48.75
Teddy,E,71,91,21,48,1,231,57.75
Finley,D,62,73,84,68,1,287,71.75
Daniel,C,50,50,72,61,1,233,58.25
Riley,E,35,26,59,83,1,203,50.75
Edward,B,57,38,86,87,1,268,67.0
Joseph,E,67,87,87,93,1,334,83.5
Alexander,C,91,76,26,79,1,272,68.0
Adam,C,90,32,47,39,1,208,52.0
Reggie1,A,30,12,23,9,1,74,18.5
Samuel,B,9,38,88,66,1,201,50.25
Jaxon,E,88,98,19,98,1,303,75.75
Sebastian,C,1,14,68,48,1,131,32.75
Elijah,B,97,89,15,46,1,247,61.75
Harley,B,2,99,12,13,1,126,31.5
Toby,A,52,27,17,68,1,164,41.0
Arlo8,E,48,34,52,51,1,185,46.25
Dylan,A,86,87,65,20,1,258,64.5
Jude,E,8,45,13,65,1,131,32.75
Benjamin,D,15,88,52,25,1,180,45.0
Rory9,E,8,12,58,27,1,105,26.25
Tommy,C,29,44,28,76,1,177,44.25
Jake3,C,69,23,11,40,1,143,35.75
Louie,D,24,84,54,11,1,173,43.25
Carter7,D,57,52,77,50,1,236,59.0
Jenson,B,66,77,88,74,1,305,76.25
Hugo0,A,28,25,14,71,1,138,34.5
Bobby1,D,50,55,60,59,1,224,56.0
Frankie,B,18,62,52,33,1,165,41.25
Ollie3,C,10,76,30,36,1,152,38.0
Zachary,E,12,71,85,93,1,261,65.25
David,B,21,47,99,2,1,169,42.25
Albie1,D,79,82,56,96,1,313,78.25
Lewis,B,4,34,77,28,1,143,35.75
Luca,D,5,40,91,83,1,219,54.75
Ronnie,B,53,13,34,99,1,199,49.75
Jackson5,E,6,10,15,33,1,64,16.0
Matthew,C,44,33,41,98,1,216,54.0
Alex,D,14,70,55,87,1,226,56.5
Harvey2,B,43,76,87,90,1,296,74.0
Reuben,D,70,72,76,56,1,274,68.5
Jayden6,D,64,21,10,21,1,116,29.0
Caleb,A,64,34,46,88,1,232,58.0
Hunter3,D,38,80,82,40,1,240,60.0
Theodore3,D,43,7,68,80,1,198,49.5
Nathan,A,87,77,62,13,1,239,59.75
Blake,A,78,23,93,9,1,203,50.75
Luke6,D,15,97,95,99,1,306,76.5
Elliot,C,15,17,76,22,1,130,32.5
Roman,E,73,1,25,44,1,143,35.75
Stanley,A,69,71,39,97,1,276,69.0
Dexter,E,73,94,53,20,1,240,60.0
Michael,B,89,21,59,92,1,261,65.25
Elliott,B,9,31,33,60,1,133,33.25
Tyler,A,75,16,44,63,1,198,49.5
Ryan,E,92,70,64,31,1,257,64.25
Ellis,C,34,34,77,42,1,187,46.75
Finn,E,4,1,55,32,1,92,23.0
Albert0,B,85,38,41,17,1,181,45.25
Kai,B,66,45,13,48,1,172,43.0
Liam,B,2,80,24,25,1,131,32.75
Calum,C,14,91,16,82,1,203,50.75
Louis2,C,13,94,51,22,1,180,45.0
Aaron,A,96,75,55,8,1,234,58.5
Ezra,D,16,56,86,61,1,219,54.75
Leon,E,38,60,31,7,1,136,34.0
Connor,C,62,38,63,46,1,209,52.25
Grayson7,B,59,84,74,33,1,250,62.5
Jamie0,B,39,97,84,55,1,275,68.75
Aiden,D,20,31,62,68,1,181,45.25
Gabriel,C,48,59,87,74,1,268,67.0
Austin7,C,21,31,30,43,1,125,31.25
Lincoln4,C,98,93,1,20,1,212,53.0
Eli,E,11,74,58,91,1,234,58.5
Ben,E,21,43,41,74,1,179,44.75
