,name,team,Q1,Q2,Q3,Q4
0,Liver,E,89,21,24,64
1,Arry,C,36,37,37,57
2,Ack,A,57,60,18,84
3,Eorge,C,93,96,71,78
4,Oah,D,65,49,61,86
5,Harlie,C,24,13,87,43
6,Acob,B,61,95,94,8
7,Lfie,A,9,10,99,37
8,Reddie,D,64,93,57,72
9,Oscar,A,77,9,26,67
10,Leo,B,17,4,33,79
11,Logan,B,9,89,35,65
12,Archie,C,83,89,59,68
13,Theo,C,51,86,87,27
14,Thomas,B,80,48,56,41
15,James,E,48,77,52,11
16,Joshua,A,63,4,80,30
17,Henry,A,91,15,75,17
18,William,C,80,68,3,26
19,Max,E,97,75,41,3
20,Lucas,A,60,41,77,62
21,Ethan,D,79,45,89,88
22,Arthur,A,44,53,42,40
23,Mason,D,80,96,26,49
24,Isaac,E,74,23,28,65
25,Harrison,B,89,13,18,75
26,Teddy,E,71,91,21,48
27,Finley,D,62,73,84,68
28,Daniel,C,50,50,72,61
29,Riley,E,35,26,59,83
30,Edward,B,57,38,86,87
31,Joseph,E,67,87,87,93
32,Alexander,C,91,76,26,79
33,Adam,C,90,32,47,39
34,Reggie1,A,30,12,23,9
35,Samuel,B,9,38,88,66
36,Jaxon,E,88,98,19,98
37,Sebastian,C,1,14,68,48
38,Elijah,B,97,89,15,46
39,Harley,B,2,99,12,13
40,Toby,A,52,27,17,68
41,Arlo8,E,48,34,52,51
42,Dylan,A,86,87,65,20
43,Jude,E,8,45,13,65
44,Benjamin,D,15,88,52,25
45,Rory9,E,8,12,58,27
46,Tommy,C,29,44,28,76
47,Jake3,C,69,23,11,40
48,Louie,D,24,84,54,11
49,Carter7,D,57,52,77,50
50,Jenson,B,66,77,88,74
51,Hugo0,A,28,25,14,71
52,Bobby1,D,50,55,60,59
53,Frankie,B,18,62,52,33
54,Ollie3,C,10,76,30,36
55,Zachary,E,12,71,85,93
56,David,B,21,47,99,2
57,Albie1,D,79,82,56,96
58,Lewis,B,4,34,77,28
59,Luca,D,5,40,91,83
60,Ronnie,B,53,13,34,99
61,Jackson5,E,6,10,15,33
62,Matthew,C,44,33,41,98
63,Alex,D,14,70,55,87
64,Harvey2,B,43,76,87,90
65,Reuben,D,70,72,76,56
66,Jayden6,D,64,21,10,21
67,Caleb,A,64,34,46,88
68,Hunter3,D,38,80,82,40
69,Theodore3,D,43,7,68,80
70,Nathan,A,87,77,62,13
71,Blake,A,78,23,93,9
72,Luke6,D,15,97,95,99
73,Elliot,C,15,17,76,22
74,Roman,E,73,1,25,44
75,Stanley,A,69,71,39,97
76,Dexter,E,73,94,53,20
77,Michael,B,89,21,59,92
78,Elliott,B,9,31,33,60
79,Tyler,A,75,16,44,63
80,Ryan,E,92,70,64,31
81,Ellis,C,34,34,77,42
82,Finn,E,4,1,55,32
83,Albert0,B,85,38,41,17
84,Kai,B,66,45,13,48
85,Liam,B,2,80,24,25
86,Calum,C,14,91,16,82
87,Louis2,C,13,94,51,22
88,Aaron,A,96,75,55,8
89,Ezra,D,16,56,86,61
90,Leon,E,38,60,31,7
91,Connor,C,62,38,63,46
92,Grayson7,B,59,84,74,33
93,Jamie0,B,39,97,84,55
94,Aiden,D,20,31,62,68
95,Gabriel,C,48,59,87,74
96,Austin7,C,21,31,30,43
97,Lincoln4,C,98,93,1,20
98,Eli,E,11,74,58,91
99,Ben,E,21,43,41,74
